"filename", "language", "TypeScript", "CSS", "TypeScript React", "XML", "SCSS", "comment", "blank", "total"
"c:\Users\rideo\Dropbox\Code\projects\react\el-chart-2\src\App.css", "CSS", 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\rideo\Dropbox\Code\projects\react\el-chart-2\src\App.test.tsx", "TypeScript React", 0, 0, 3, 0, 0, 5, 2, 10
"c:\Users\rideo\Dropbox\Code\projects\react\el-chart-2\src\App.tsx", "TypeScript React", 0, 0, 81, 0, 0, 5, 12, 98
"c:\Users\rideo\Dropbox\Code\projects\react\el-chart-2\src\assets\initial-array.ts", "TypeScript", 32, 0, 0, 0, 0, 468, 7, 507
"c:\Users\rideo\Dropbox\Code\projects\react\el-chart-2\src\components\board-menu\board-menu.component.tsx", "TypeScript React", 0, 0, 61, 0, 0, 3, 12, 76
"c:\Users\rideo\Dropbox\Code\projects\react\el-chart-2\src\components\board-menu\board-menu.styles.scss", "SCSS", 0, 0, 0, 0, 22, 0, 5, 27
"c:\Users\rideo\Dropbox\Code\projects\react\el-chart-2\src\components\custom-button\custom-button.component.tsx", "TypeScript React", 0, 0, 11, 0, 0, 2, 7, 20
"c:\Users\rideo\Dropbox\Code\projects\react\el-chart-2\src\components\custom-button\custom-button.styles.scss", "SCSS", 0, 0, 0, 0, 35, 0, 7, 42
"c:\Users\rideo\Dropbox\Code\projects\react\el-chart-2\src\components\form-input\form-input.component.tsx", "TypeScript React", 0, 0, 23, 0, 0, 2, 9, 34
"c:\Users\rideo\Dropbox\Code\projects\react\el-chart-2\src\components\form-input\form-input.styles.scss", "SCSS", 0, 0, 0, 0, 46, 0, 9, 55
"c:\Users\rideo\Dropbox\Code\projects\react\el-chart-2\src\components\main-board\main-board.component.tsx", "TypeScript React", 0, 0, 66, 0, 0, 2, 12, 80
"c:\Users\rideo\Dropbox\Code\projects\react\el-chart-2\src\components\main-board\main-board.styles.scss", "SCSS", 0, 0, 0, 0, 38, 18, 14, 70
"c:\Users\rideo\Dropbox\Code\projects\react\el-chart-2\src\components\note\note.component.tsx", "TypeScript React", 0, 0, 165, 0, 0, 4, 20, 189
"c:\Users\rideo\Dropbox\Code\projects\react\el-chart-2\src\components\note\note.styles.scss", "SCSS", 0, 0, 0, 0, 96, 19, 22, 137
"c:\Users\rideo\Dropbox\Code\projects\react\el-chart-2\src\components\options-frame\options-frame.component.tsx", "TypeScript React", 0, 0, 169, 0, 0, 12, 23, 204
