"filename", "language", "TypeScript", "TypeScript React", "SCSS", "comment", "blank", "total"
"c:\Users\rideo\Dropbox\Code\projects\react\el-chart-2\src\App.tsx", "TypeScript React", 0, -1, 0, 0, 0, -1
"c:\Users\rideo\Dropbox\Code\projects\react\el-chart-2\src\assets\initial-array.ts", "TypeScript", 24, 0, 0, -84, -13, -73
"c:\Users\rideo\Dropbox\Code\projects\react\el-chart-2\src\components\board-menu\board-menu.component.tsx", "TypeScript React", 0, -2, 0, 0, -3, -5
"c:\Users\rideo\Dropbox\Code\projects\react\el-chart-2\src\components\custom-button\custom-button.component.tsx", "TypeScript React", 0, 0, 0, 0, -1, -1
"c:\Users\rideo\Dropbox\Code\projects\react\el-chart-2\src\components\form-input\form-input.component.tsx", "TypeScript React", 0, 0, 0, 0, -3, -3
"c:\Users\rideo\Dropbox\Code\projects\react\el-chart-2\src\components\main-board\main-board.component.tsx", "TypeScript React", 0, 1, 0, 0, 0, 1
"c:\Users\rideo\Dropbox\Code\projects\react\el-chart-2\src\components\note\note.component.tsx", "TypeScript React", 0, 2, 0, -2, 0, 0
"c:\Users\rideo\Dropbox\Code\projects\react\el-chart-2\src\components\note\note.styles.scss", "SCSS", 0, 0, 1, 0, -1, 0
"c:\Users\rideo\Dropbox\Code\projects\react\el-chart-2\src\components\options-frame\options-frame.component.tsx", "TypeScript React", 0, 4, 0, 0, -2, 2
"c:\Users\rideo\Dropbox\Code\projects\react\el-chart-2\src\components\pad-frame\pad-frame.component.tsx", "TypeScript React", 0, 3, 0, 0, 1, 4
"c:\Users\rideo\Dropbox\Code\projects\react\el-chart-2\src\components\pad-frame\pad-frame.styles.scss", "SCSS", 0, 0, -1, 0, 0, -1
"c:\Users\rideo\Dropbox\Code\projects\react\el-chart-2\src\components\signin-input\signin-input.component.tsx", "TypeScript React", 0, -23, 0, 0, -7, -30
"c:\Users\rideo\Dropbox\Code\projects\react\el-chart-2\src\components\signin-input\signin-input.styles.scss", "SCSS", 0, 0, -46, 0, -9, -55
"c:\Users\rideo\Dropbox\Code\projects\react\el-chart-2\src\components\signinupmodal\signinupmodal.styles.scss", "SCSS", 0, 0, 1, 0, 0, 1
"c:\Users\rideo\Dropbox\Code\projects\react\el-chart-2\src\components\update-frame\update-frame.component.tsx", "TypeScript React", 0, -20, 0, -10, -7, -37
"c:\Users\rideo\Dropbox\Code\projects\react\el-chart-2\src\components\update-frame\update-frame.styles.scss", "SCSS", 0, 0, -19, -2, -6, -27
"c:\Users\rideo\Dropbox\Code\projects\react\el-chart-2\src\components\user-interface\user-interface.component.tsx", "TypeScript React", 0, 0, 0, -3, -2, -5
"c:\Users\rideo\Dropbox\Code\projects\react\el-chart-2\src\components\user-options\user-options.component.tsx", "TypeScript React", 0, -2, 0, -2, 0, -4
"c:\Users\rideo\Dropbox\Code\projects\react\el-chart-2\src\context\main\MainReducer.ts", "TypeScript", -17, 0, 0, 3, 26, 12
"c:\Users\rideo\Dropbox\Code\projects\react\el-chart-2\src\context\main\MainState.tsx", "TypeScript React", 0, 2, 0, 0, 0, 2
"c:\Users\rideo\Dropbox\Code\projects\react\el-chart-2\src\firebase\firebase.utils.ts", "TypeScript", 0, 0, 0, 0, 2, 2
"c:\Users\rideo\Dropbox\Code\projects\react\el-chart-2\src\methods\find-group.ts", "TypeScript", -13, 0, 0, 4, 4, -5
"c:\Users\rideo\Dropbox\Code\projects\react\el-chart-2\src\methods\new-note.ts", "TypeScript", 7, 0, 0, 0, 4, 11
"c:\Users\rideo\Dropbox\Code\projects\react\el-chart-2\src\methods\num-finders.ts", "TypeScript", -12, 0, 0, 1, -3, -14
"c:\Users\rideo\Dropbox\Code\projects\react\el-chart-2\src\methods\trashHandlers.ts", "TypeScript", -2, 0, 0, 0, 0, -2
"c:\Users\rideo\Dropbox\Code\projects\react\el-chart-2\src\methods\update-helper.ts", "TypeScript", -4, 0, 0, 0, 0, -4
"Total", "-", -17, -36, -64, -95, -20, -232
